round,elapsed_time,accuracy,clusters_accuracy
1,6.432842969894409,0.8679,0; 0; 0.8653; 0.8431; 0.7803
2,12.823754787445068,0.9467,0.8396; 0; 0.8794; 0.9526; 0.805
3,19.246750593185425,0.9582,0.9153; 0.9642; 0.8794; 0.9128; 0.805
4,25.965299367904663,0.9673,0.9153; 0.9176; 0.9284; 0.8928; 0.9413
5,32.44665241241455,0.9707,0.8801; 0.9176; 0.9284; 0.9315; 0.9673
6,38.82763957977295,0.972,0.8801; 0.9176; 0.9704; 0.9683; 0.9442
7,45.218687772750854,0.9728,0.9509; 0.9176; 0.9659; 0.965; 0.9442
8,51.60260558128357,0.9763,0.9509; 0.9176; 0.9698; 0.965; 0.9673
9,57.970932483673096,0.9766,0.9634; 0.9497; 0.9652; 0.965; 0.9704
10,65.75882697105408,0.9766,0.9634; 0.9497; 0.9652; 0.965; 0.9704
11,73.76724100112915,0.9689,0.9634; 0.9497; 0.9652; 0.965; 0.9704
12,83.59868049621582,0.9736,0.9634; 0.9497; 0.9652; 0.9736; 0.9736
13,93.35134887695312,0.9755,0.9634; 0.9497; 0.9755; 0.9755; 0.9755
14,103.2626166343689,0.978,0.9634; 0.978; 0.978; 0.978; 0.978
15,113.1205222606659,0.978,0.978; 0.978; 0.978; 0.978; 0.978
16,123.22717666625977,0.9786,0.978; 0.9786; 0.9786; 0.9786; 0.9786
17,133.13388633728027,0.9807,0.978; 0.9786; 0.9807; 0.9786; 0.9807
18,143.2020869255066,0.9801,0.978; 0.9786; 0.9801; 0.9801; 0.9801
19,153.2216339111328,0.9787,0.9787; 0.9786; 0.9787; 0.9787; 0.9787
20,163.05871200561523,0.9809,0.9787; 0.9809; 0.9809; 0.9809; 0.9809
